"x"
"volume" 0
"pH" 0
"Rugosity" 0
"AragoniteSaturation" 3
"hdsource" 0
"hdsink" 0
"eflux" 0
"vflux" 0
"porosity" 1
"nominal_dz" 0
"dz" 0
"numlayers" 0
"topk" 0
"sedbiodepth" 0.2
"seddetdepth" 0.25
"sedoxdepth" 2
"sedbiodens" 100
"sedirrigenh" 0
"sedturbenh" 1e-06
"erosion_rate" 4e-07
"reef" 0
"flat" 0
"soft" 0
"canyon" 0
"eddy" 0.01
"water" 1
"NH3" 5
"NO3" 12
"DON" 8
"MicroNut" 0
"Oxygen" 8000
"Si" 14
"Det_Si" 1
"Light" 0
"Temp" 15
"salt" 25
"Denitrifiction" 0
"Nitrification" 0
"Chl_a" 3.31
"Stress" 0
"DiagNGain" 0
"DiagNLoss" 0
"DiagNFlux" 0
"Light_Adaptn_PL" 15
"Light_Adaptn_PS" 15
"Squid_N" 0.001
"Bivalves_N" 0.001
"Prawn_N" 0.001
"Dungeness_crabs_N" 0
"Crabs_N" 0
"Carniv_Zoo_N" 0.01
"Deposit_Feeder_N" 0.001
"Benthic_Carniv_N" 20
"Gelat_Zoo_N" 0.1
"Diatom_N" 0.001
"Sponges_N" 0
"Sponges_Cover" 0
"PicoPhytopl_N" 0.001
"Zoo_N" 0.01
"MicroZoo_N" 1
"Pelag_Bact_N" 0.02
"Sed_Bact_N" 0.01
"Meiobenth_N" 0.001
"Diatom_S" 0.003
"Filter_feeder_N" 0
"Macrobenthos_N" 0
"Macroalgae_N" 0
"Seagrass_N" 0
"Benthic_grazer_N" 0
"Lab_Det_N" 2
"Ref_Det_N" 1
"Carrion_N" 0
"Filter_feeder_Cover" 0
"Macroalgae_Cover" 0
"Seagrass_Cover" 0
"Small_pelagic_fish_N" 0
"Hake_N" 0
"Sandlance_N" 0
"Chinook_salmon_N" 0
"Coho_salmon_N" 0
"Sockeye_salmon_N" 0
"Pink_salmon_N" 0
"Chum_salmon_N" 0
"Other_salmonids_N" 0
"Hatchery_Chinook_salmon_N" 0
"Hatchery_Coho_salmon_N" 0
"Hatchery_Sockeye_salmon_N" 0
"Lingcod_N" 0
"Benthopelagic_N" 0
"Large_Demersal_fish_N" 0
"Rockfish_N" 0
"Small_Flatfish_N" 0
"Large_Flatfish_N" 0
"Sixgill_N" 0
"Pollock_N" 0
"Humpback_whales_N" 0
"Orcas_transient_N" 0
"Orcas_resident_N" 0
"Harbor_porpoise_N" 0
"Harbor_seals_N" 0
"Seabird_gulls_N" 0
"Skates_N" 0
"Ratfish_N" 0
"Small_Demersal_fish_N" 0
"Dogfish_N" 0
"Seabirds_N" 0
"Sealions_N" 0
"Pacific_herring_N" 0
"Pacific_herring1_Nums" 0
"Pacific_herring1_StructN" 8.009
"Pacific_herring1_ResN" 12.273
"Pacific_herring2_Nums" 0
"Pacific_herring2_StructN" 125.21
"Pacific_herring2_ResN" 331.81
"Pacific_herring3_Nums" 0
"Pacific_herring3_StructN" 463.02
"Pacific_herring3_ResN" 1228.94
"Pacific_herring4_Nums" 0
"Pacific_herring4_StructN" 786.02
"Pacific_herring4_ResN" 2082.95
"Pacific_herring5_Nums" 0
"Pacific_herring5_StructN" 1020.8
"Pacific_herring5_ResN" 2705.13
"Pacific_herring6_Nums" 0
"Pacific_herring6_StructN" 1160
"Pacific_herring6_ResN" 3074.01
"Pacific_herring7_Nums" 0
"Pacific_herring7_StructN" 1247.32
"Pacific_herring7_ResN" 3305.39
"Pacific_herring8_Nums" 0
"Pacific_herring8_StructN" 1285.89
"Pacific_herring8_ResN" 3407.61
"Pacific_herring9_Nums" 0
"Pacific_herring9_StructN" 1312.14
"Pacific_herring9_ResN" 3477.16
"Pacific_herring10_Nums" 0
"Pacific_herring10_StructN" 1325.39
"Pacific_herring10_ResN" 3512.28
"Small_pelagic_fish1_Nums" 0
"Small_pelagic_fish1_StructN" 1.111
"Small_pelagic_fish1_ResN" 2.9441
"Small_pelagic_fish2_Nums" 0
"Small_pelagic_fish2_StructN" 27.77
"Small_pelagic_fish2_ResN" 73.6
"Small_pelagic_fish3_Nums" 0
"Small_pelagic_fish3_StructN" 102.87
"Small_pelagic_fish3_ResN" 272.6
"Small_pelagic_fish4_Nums" 0
"Small_pelagic_fish4_StructN" 226.43
"Small_pelagic_fish4_ResN" 600.05
"Small_pelagic_fish5_Nums" 0
"Small_pelagic_fish5_StructN" 276.68
"Small_pelagic_fish5_ResN" 733.19
"Small_pelagic_fish6_Nums" 0
"Small_pelagic_fish6_StructN" 291.06
"Small_pelagic_fish6_ResN" 771.3
"Small_pelagic_fish7_Nums" 0
"Small_pelagic_fish7_StructN" 294
"Small_pelagic_fish7_ResN" 779.09
"Sandlance1_Nums" 0
"Sandlance1_StructN" 0.911
"Sandlance1_ResN" 2.413
"Sandlance2_Nums" 0
"Sandlance2_StructN" 22.77
"Sandlance2_ResN" 60.33
"Sandlance3_Nums" 0
"Sandlance3_StructN" 84.32
"Sandlance3_ResN" 223.44
"Sandlance4_Nums" 0
"Sandlance4_StructN" 185.6
"Sandlance4_ResN" 491.84
"Sandlance5_Nums" 0
"Sandlance5_StructN" 226.78
"Sandlance5_ResN" 600.98
"Sandlance6_Nums" 0
"Sandlance6_StructN" 238.57
"Sandlance6_ResN" 632.21
"Sandlance7_Nums" 0
"Sandlance7_StructN" 240.98
"Sandlance7_ResN" 638.6
"Chinook_salmon1_Nums" 0
"Chinook_salmon1_StructN" 409.787
"Chinook_salmon1_ResN" 1085.936
"Chinook_salmon2_Nums" 0
"Chinook_salmon2_StructN" 10244.68
"Chinook_salmon2_ResN" 27148.4
"Chinook_salmon3_Nums" 0
"Chinook_salmon3_StructN" 83520.25
"Chinook_salmon3_ResN" 221328.67
"Chinook_salmon4_Nums" 0
"Chinook_salmon4_StructN" 102053.09
"Chinook_salmon4_ResN" 270440.7
"Chinook_salmon5_Nums" 0
"Chinook_salmon5_StructN" 108440.91
"Chinook_salmon5_ResN" 287368.42
"Coho_salmon1_Nums" 0
"Coho_salmon1_StructN" 148.434
"Coho_salmon1_ResN" 393.35
"Coho_salmon2_Nums" 0
"Coho_salmon2_StructN" 3710.85
"Coho_salmon2_ResN" 9833.75
"Coho_salmon3_Nums" 0
"Coho_salmon3_StructN" 30252.89
"Coho_salmon3_ResN" 80170.16
"Coho_salmon4_Nums" 0
"Coho_salmon4_StructN" 36965.9
"Coho_salmon4_ResN" 97959.63
"Coho_salmon5_Nums" 0
"Coho_salmon5_StructN" 39279.71
"Coho_salmon5_ResN" 104091.23
"Sockeye_salmon1_Nums" 0
"Sockeye_salmon1_StructN" 70.119
"Sockeye_salmon1_ResN" 185.816
"Sockeye_salmon2_Nums" 0
"Sockeye_salmon2_StructN" 1752.98
